,r2
883,0.6793032484637731
884,0.6407782555258696
885,0.6711978201337812
886,0.6573367828288278
887,0.6759193185320833
888,0.6694650398435291
889,0.6629955703539816
890,0.6707286917675502
891,0.662442197862215
892,0.6730372962831246
893,0.666295406695949
894,0.659479286955698
895,0.6815126378001192
896,0.6753876512200312
897,0.6449019549013364
898,0.6808635988455012
899,0.6583768343441131
900,0.6955239865230193
901,0.6759926858101066
902,0.6671547156194606
903,0.6738380828430242
904,0.6642478657126913
905,0.6677568596028267
906,0.6575090345525527
907,0.6675846706047708
908,0.7043407334712051
909,0.668637576321617
910,0.6580893630660516
911,0.6774924504735909
912,0.6691229590247907
913,0.6681590774222455
914,0.6912184326826538
915,0.6666390803195577
916,0.671134287883079
917,0.660080391705407
918,0.6712725407314589
919,0.6800737415358592
920,0.6899002512626462
921,0.6804894352622087
922,0.6714146169806448
923,0.681808921025728
924,0.6700095587303085
925,0.6683685369381815
926,0.6634711991806856
927,0.6762598600588601
928,0.6852893288823096
929,0.6698200298693271
930,0.6827887193449543
931,0.6691014393477728
932,0.6767318668833213
933,0.6470567487717498
934,0.6879085605993005
935,0.6662789211902158
936,0.6681526900764769
937,0.6615131700664012
938,0.6621849931996052
939,0.6774087606715592
940,0.6714784644586083
941,0.6433907505035832
942,0.6722096642909565
943,0.6635656501627278
944,0.677944783515328
945,0.6828669048367906
946,0.6612215281158056
947,0.6447584346477011
948,0.6520629126056363
949,0.6825285678196545
950,0.6606088102795996
951,0.6649322843199792
952,0.6721283240295939
953,0.6710976182793505
954,0.6718439365084226
955,0.6806087346438747
956,0.6812712559463059
957,0.6492129480255417
958,0.6650505880755961
959,0.6361381220624676
960,0.6635227866854991
961,0.6922539523465139
962,0.6354929888792742
963,0.6727158445215858
964,0.6681657155208923
965,0.6663017305203403
966,0.6684522586435385
967,0.6848159377453229
968,0.6398592398222436
969,0.675268930342084
970,0.6627036073492801
971,0.6742335980958034
972,0.6709699639173958
973,0.6629370775011327
974,0.6663308566940529
975,0.6723347460573414
976,0.6569279492214908
977,0.6566265441815753
978,0.6848328730159126
979,0.6517422131314101
980,0.6756676451796275
981,0.6506201992200908
982,0.6617514197935942
983,0.6748978407177761
984,0.6589272127211352
985,0.6687134566792263
986,0.6731587898645532
987,0.6724139161981049
988,0.6768544519340683
989,0.6661277486147243
990,0.6762833927631833
991,0.6589958247944954
992,0.6524776219077748
993,0.6685933106054713
994,0.6711058604562271
995,0.6613505739236416
996,0.6695758295986002
997,0.6609423128835576
998,0.6501980205365112
999,0.6642185318848042
